[2019-05-13 20:48:45] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-05-13 20:59:41] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 3 [] []
[2019-05-13 20:59:41] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN/20190512/005' [] []
[2019-05-13 21:00:50] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> load.. [] []
[2019-05-13 21:00:50] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> upd_pesanan : UPDATE pesanan SET upd_tms = NOW(), pesanan_no_surat_jalan_masuk = '123KHB', pesanan_total_qty = 0, pesanan_total_qty_packing = 0 WHERE pesanan_no_pesanan = 'PSN/20190512/005' [] []
[2019-05-13 21:00:50] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> upd_pesanan : SUCCESS [] []
[2019-05-13 21:00:50] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update detail_pesanan -> sql_detail : UPDATE detail_pesanan SET upd_tms = NOW(), detail_pesanan_nama_barang = 'Kain CC', detail_pesanan_jenis_print = 'Print Cc', detail_pesanan_warna = 3, detail_pesanan_detail_kain = '1233', detail_pesanan_ukuran = 'XS', detail_pesanan_sisi_kanan = '', detail_pesanan_sisi_kiri = '', detail_pesanan_sisi_blkng = '', detail_pesanan_qty = 300, detail_pesanan_satuan = 'PT', detail_pesanan_jenis_packing = 'PT', detail_pesanan_qty_packing = 1, detail_pesanan_status = 'B' WHERE detail_pesanan_id = 12 [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update detail_pesanan -> sql_detail : UPDATE detail_pesanan SET upd_tms = NOW(), detail_pesanan_nama_barang = 'Kain CC', detail_pesanan_jenis_print = 'Print Cc', detail_pesanan_warna = 3, detail_pesanan_detail_kain = '1233', detail_pesanan_ukuran = 'S', detail_pesanan_sisi_kanan = '', detail_pesanan_sisi_kiri = '', detail_pesanan_sisi_blkng = '', detail_pesanan_qty = 300, detail_pesanan_satuan = 'PT', detail_pesanan_jenis_packing = 'PT', detail_pesanan_qty_packing = 1, detail_pesanan_status = 'B' WHERE detail_pesanan_id = 13 [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update detail_pesanan -> sql_detail : UPDATE detail_pesanan SET upd_tms = NOW(), detail_pesanan_nama_barang = 'Kain CC', detail_pesanan_jenis_print = 'Print Cc', detail_pesanan_warna = 3, detail_pesanan_detail_kain = '1233', detail_pesanan_ukuran = 'M', detail_pesanan_sisi_kanan = '', detail_pesanan_sisi_kiri = '', detail_pesanan_sisi_blkng = '', detail_pesanan_qty = 300, detail_pesanan_satuan = 'PT', detail_pesanan_jenis_packing = 'PT', detail_pesanan_qty_packing = 1, detail_pesanan_status = 'B' WHERE detail_pesanan_id = 14 [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update detail_pesanan -> sql_detail : UPDATE detail_pesanan SET upd_tms = NOW(), detail_pesanan_nama_barang = 'Kain CC', detail_pesanan_jenis_print = 'Print Cc', detail_pesanan_warna = 3, detail_pesanan_detail_kain = '1233', detail_pesanan_ukuran = 'L', detail_pesanan_sisi_kanan = '', detail_pesanan_sisi_kiri = '', detail_pesanan_sisi_blkng = '', detail_pesanan_qty = 300, detail_pesanan_satuan = 'PT', detail_pesanan_jenis_packing = 'PT', detail_pesanan_qty_packing = 1, detail_pesanan_status = 'B' WHERE detail_pesanan_id = 15 [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update detail_pesanan -> sql_detail : UPDATE detail_pesanan SET upd_tms = NOW(), detail_pesanan_nama_barang = 'Kain CC', detail_pesanan_jenis_print = 'Print Cc', detail_pesanan_warna = 3, detail_pesanan_detail_kain = '1233', detail_pesanan_ukuran = 'XL', detail_pesanan_sisi_kanan = '', detail_pesanan_sisi_kiri = '', detail_pesanan_sisi_blkng = '', detail_pesanan_qty = 300, detail_pesanan_satuan = 'PT', detail_pesanan_jenis_packing = 'PT', detail_pesanan_qty_packing = 1, detail_pesanan_status = 'B' WHERE detail_pesanan_id = 16 [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update detail_pesanan -> sql_detail : UPDATE detail_pesanan SET upd_tms = NOW(), detail_pesanan_nama_barang = 'Kain CC', detail_pesanan_jenis_print = 'Print Cc', detail_pesanan_warna = 3, detail_pesanan_detail_kain = '1233', detail_pesanan_ukuran = 'XXL', detail_pesanan_sisi_kanan = '', detail_pesanan_sisi_kiri = '', detail_pesanan_sisi_blkng = '', detail_pesanan_qty = 300, detail_pesanan_satuan = 'PT', detail_pesanan_jenis_packing = 'PT', detail_pesanan_qty_packing = 1, detail_pesanan_status = 'B' WHERE detail_pesanan_id = 17 [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> update ke detail_pesanan -> BERHASIL [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> del : DELETE FROM surat_jalan WHERE surat_jalan_no_pesanan = 'PSN/20190512/005' AND surat_jalan_key = 'SRJ/20190512/003' [] []
[2019-05-13 21:00:51] RabbitPrint.WARNING:  | | | proses_lihat_pesanan.php -> del : DELETE FROM surat_jalan_detail WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190512/003' [] []
[2019-05-13 21:00:54] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-05-13 21:00:54] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-05-13 21:00:54] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-05-13 21:00:54] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN/20190512/005' [] []
[2019-05-13 21:00:54] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 3 [] []
[2019-05-13 21:00:54] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN/20190512/005' [] []
[2019-05-13 21:44:28] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> buat_suratjalan [] []
[2019-05-13 21:44:28] RabbitPrint.WARNING:  | | | functions.php -> getKodeSuratJalan() -> selectkey : SELECT MAX(surat_jalan.surat_jalan_key) AS psnkey FROM surat_jalan WHERE surat_jalan.surat_jalan_key LIKE '%SRJ/20190513/%' [] []
[2019-05-13 21:44:28] RabbitPrint.WARNING:  | | | functions.php -> getKodeSuratJalan() -> psn_key : SRJ/20190513/001 [] []
[2019-05-13 21:44:28] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> list_barang : {"0":{"surat_jalan_detail_nama_barang":"Kain CC","surat_jalan_detail_jenis_print":"Print Cc","surat_jalan_detail_warna":"3","surat_jalan_detail_subtotal_qty":"1800","surat_jalan_detail_satuan_qty":"PT","surat_jalan_detail_subtotal_pack":"6","surat_jalan_detail_satuan_pack":"PT","surat_jalan_detail_keterangan":"1233 - 300 x 1\n1233 - 300 x 1\n1233 - 300 x 1\n1233 - 300 x 1\n1233 - 300 x 1\n1233 - 300 x 1"}} [] []
[2019-05-13 21:44:28] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> insert ke surat_jalan -> sql_pesanan : INSERT INTO surat_jalan (cre_tms, upd_tms, cre_usr, upd_usr, surat_jalan_key, surat_jalan_nomor, surat_jalan_tanggal, surat_jalan_pelanggan_id, surat_jalan_no_pesanan, surat_jalan_status) VALUES (NOW(), NOW(), 'superuser', 'superuser', 'SRJ/20190513/001', '123KHB', '2019-05-13', 3, 'PSN/20190512/005', 'B') [] []
[2019-05-13 21:44:29] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> insert ke surat_jalan -> BERHASIL [] []
[2019-05-13 21:44:29] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> insert ke surat_jalan_detail -> sql_detail : INSERT INTO surat_jalan_detail (cre_tms, upd_tms, cre_usr, upd_usr, surat_jalan_detail_surat_jalan_key, surat_jalan_detail_nama_barang, surat_jalan_detail_jenis_print, surat_jalan_detail_warna, surat_jalan_detail_subtotal_qty, surat_jalan_detail_satuan_qty, surat_jalan_detail_subtotal_pack, surat_jalan_detail_satuan_pack, surat_jalan_detail_keterangan) VALUES ( NOW(), NOW(), 'superuser', 'superuser', 'SRJ/20190513/001', 'Kain CC', 'Print Cc', 3, 1800, 'PT', 6, 'PT', '1233 - 300 x 1 1233 - 300 x 1 1233 - 300 x 1 1233 - 300 x 1 1233 - 300 x 1 1233 - 300 x 1' '') [] []
[2019-05-13 21:44:29] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> upd_psn : UPDATE detail_pesanan p SET p.upd_tms = NOW(), p.upd_usr = 'superuser', p.detail_pesanan_status = 'SRJ/20190513/001' WHERE p.detail_pesanan_no_pesanan = 'PSN/20190512/005' AND p.detail_pesanan_nama_barang = 'Kain CC' AND p.detail_pesanan_jenis_print = 'Print Cc' [] []
[2019-05-13 21:44:29] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> insert ke surat_jalan_detail -> BERHASIL [] []
[2019-05-13 21:44:29] RabbitPrint.WARNING:  | | | proses_daftar_pesanan.php -> response : Array [] []
[2019-05-13 21:44:30] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_pesanan : SELECT sj.*, p.pelanggan_nama, p.pelanggan_telp, p.pelanggan_alamat, u.nama AS createby FROM surat_jalan sj JOIN pelanggan p ON p.pelanggan_id = sj.surat_jalan_pelanggan_id JOIN s_user u ON u.username = sj.cre_usr WHERE sj.surat_jalan_key = 'SRJ/20190513/001' [] []
[2019-05-13 21:44:30] RabbitPrint.WARNING:  | | | cetak_surat_jalan.php -> sel_detailsj : SELECT * FROM surat_jalan_detail WHERE surat_jalan_detail_surat_jalan_key = 'SRJ/20190513/001' [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> membuka halaman [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_)jalan.php -> sel_daftar_surat_jalan : SELECT * FROM surat_jalan ORDER BY surat_jalan_id DESC [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 3 [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 1 [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_plg -> SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 2 [] []
[2019-05-13 21:44:36] RabbitPrint.WARNING:  | | | daftar_surat_jalan.php -> sel_user -> SELECT nama FROM s_user WHERE username = 'superuser' [] []
[2019-05-13 21:44:44] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-05-13 21:44:44] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
[2019-05-13 21:44:44] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> jml. pesanan : 0 [] []
[2019-05-13 21:44:46] RabbitPrint.WARNING:  | | | data_pelanggan.php -> sel_pelanggan : SELECT * FROM pelanggan [] []
[2019-05-13 21:44:46] RabbitPrint.WARNING:  | | | data_pelanggan.php -> jml. pelanggan : 1 [] []
[2019-05-13 21:44:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> load [] []
[2019-05-13 21:44:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_psn : SELECT * FROM pesanan WHERE pesanan_no_pesanan = 'PSN/20190512/005' [] []
[2019-05-13 21:44:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_plg : SELECT pelanggan_nama FROM pelanggan WHERE pelanggan_id = 3 [] []
[2019-05-13 21:44:46] RabbitPrint.WARNING:  | | | lihat_pesanan.php -> sel_detailpsn : SELECT * FROM detail_pesanan WHERE detail_pesanan_no_pesanan = 'PSN/20190512/005' [] []
[2019-05-13 21:46:08] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> membuka halaman [] []
[2019-05-13 21:46:08] RabbitPrint.WARNING:  | | | daftar_pesanan.php -> sel_pesanan : SELECT psn.*, plg.pelanggan_nama	FROM pesanan psn JOIN pelanggan plg ON plg.pelanggan_id = psn.pesanan_pelanggan_id ORDER BY psn.pesanan_id DESC [] []
